Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
MEI,20.47311570473005,9.371171039255554,4.954000068732445,18.747277352280115,4.193301408178951,18.994252174705405,1.0785063093438891,2.936966076747752,3.0158457599674198,10.516278474837419,4.453346058774298,1.4389979142907865,10.639094493361824,24.37303528753309,119.69121867311925,27.734410268020294,8.897383199977428,6.899227468148378,2.524256546505842,16.720531178345862,3.135045969848276,4.552516782475114,12.724192772115265,0.4832930902753061,3.21948851881751,6.72934159418516,7.643516073123266,1.778481950300446,2.0019230807451702,3.352227827854312,7.098165997974457,0.5741865996264574,3.6017537230231094,27.869660478836103,22.8332700729311,10.845696831503483,19.587962208216908,5.3736366479644095,3.2523775823630223,1.559723008423567,40.94702568329791,25.57769396289777,0.9044022951500902,1.823014321349561,19.973526077038706,76.38894386718152,4.969841791663501,2.8489492782847923,1.4934392062221578,26.017186445990802,6.787905324632377,12.267616595868711,73.41852297055333,225.74234614808944,11.922655284815367,26.613731112522174,15.58030758990331,2.2621343241414618,2.0689324117529493,0.6489893281694451,38.32008100400216,12.34411551301171,22.501780370278894,14.788511919615534,16.05862143403078,1.1868376494662105,2.100012689238947,48.05424479552146,2.4352157247743573,9.566403068877364,7.162794319635286,2.9559366731240813,14.767520912474586,44.58183064412896,10.508665163533522,18.65848501345628,34.1371830026885,3.6084927509631495,3.6324253162619162,2.4868783697660968,4.999220718902477,3.091714579115836,13.775579438447675,35.64358598475832,6.106219890883495,191.11618711760408,14.188685536784421,26.659964677001202,0.5663114140214333,12.635780309761008,1.1357693821366266,0.96808221243475,4.126188347139751,29.268462051367138,0.4633593428920282,8.920271888943658,19.7868578886501,8.369833794556918,10.652381807505538,24.898780250349162
ET,2.540835951671813,2.643925302011851,4.1840246364490215,4.2596675666323645,3.460279597118312,2.773192754689441,3.0208377459497444,3.308780155364889,2.9264154918520977,3.218631745059784,3.36939801490509,3.09130005063816,3.456828609241604,3.201080169915416,3.308417126428216,3.077667094442259,4.896423624590851,3.8015550447571718,2.9163549200350922,2.9750630247823024,2.847652915775679,4.069749910685204,3.3098510312360596,3.253810511362326,3.7314119113110125,3.528134233809862,3.0390228479644255,3.2724152035997203,4.374990560566725,4.884218611534027,3.5749924826388546,2.9759866528160077,4.193567208691333,3.513355555719463,3.3009083101538397,2.99744936600681,4.052819487415351,3.434259189186656,2.6827487816693587,4.520130731865193,4.141059340377293,4.8422222705443065,2.968571547331374,3.2005213915447293,4.564523115659561,3.4804555920834064,3.102020074977264,3.5599045455065803,4.076505869066529,4.742042294941166,4.030972862810121,3.0427630363268356,4.762234853304664,2.8960905361163802,3.2589949745752773,4.310809307483744,4.596135853294323,3.098386621868409,3.4531768422836393,4.4647954779676775,3.4775270345474154,3.6059144276463853,3.0632670837536256,3.6435668937675687,3.0740900424272337,2.933879402511802,2.909741533230728,3.1513086719497125,3.7430563411659423,2.8369391618510953,3.53328557212974,3.0962899962317953,2.9067846155947046,3.4265211768325132,2.825306696330146,2.9307115876732936,3.4644535150039615,3.6033754211275193,3.7302948649137826,3.1262090497465698,4.097182364472011,3.682292992432373,3.159456937528119,4.945315330474659,4.603344577666426,2.705812262604412,3.1327908817949193,2.836939723287935,2.936186941709131,2.661672279726555,3.7275752360748045,3.273149671627292,2.7943142162219625,2.7348252396423116,3.5101743368886935,2.8466232280889026,3.834033796809797,3.0071019487499284,2.798813648909333,3.5375171472047104
TF,76,85,75,79,74,76,77,75,65,69,75,74,67,66,76,79,77,75,73,78,68,79,74,76,84,85,57,84,80,86,74,73,75,71,78,70,75,69,79,72,72,78,72,66,68,89,71,55,61,72,75,65,86,73,66,76,73,65,65,72,64,68,75,66,65,73,79,70,67,75,71,71,65,73,70,75,77,79,74,83,71,63,68,68,76,74,51,69,72,67,69,75,71,70,70,81,81,79,72,72
LS,16,7,3,14,3,15,0,2,2,8,3,1,8,19,95,22,7,5,2,13,2,3,10,0,2,5,6,1,1,2,5,0,2,22,18,8,15,4,2,1,32,20,0,1,15,60,3,2,1,20,5,9,58,179,9,21,12,1,1,0,30,9,17,11,12,0,1,38,1,7,5,2,11,35,8,14,27,2,2,1,3,2,10,28,4,151,11,21,0,10,0,0,3,23,0,7,15,6,8,19
PMD,96,95,98,96,48,76,95,49,100,85,33,93,100,78,97,98,27,94,72,98,86,50,78,96,43,97,100,87,28,6,52,67,100,93,100,74,95,100,65,4,29,0,99,57,1,97,70,36,99,6,53,56,7,100,58,15,25,88,98,12,100,100,95,95,65,100,76,82,100,79,53,53,87,98,83,100,96,95,100,60,93,89,100,31,1,97,69,99,82,54,100,100,90,82,44,55,100,59,91,36
PC,53,50,56,21,42,44,41,51,57,68,44,38,49,53,69,32,49,40,39,53,53,53,58,32,44,36,53,49,64,55,47,36,77,35,44,38,36,40,38,44,29,61,64,37,46,60,50,28,46,51,44,43,56,58,30,56,52,48,44,45,43,40,47,46,41,41,34,39,45,46,32,38,55,42,67,30,51,56,47,46,43,69,49,47,50,39,62,62,29,45,64,40,37,39,29,46,38,66,63,29
CH,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300,300
PK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AOO,37.0,33.0,22.0,19.0,60.0,45.0,35.0,58.0,36.0,37.0,63.0,29.0,22.0,48.0,34.0,31.0,69.0,16.0,47.0,28.0,38.0,59.0,45.0,27.0,60.0,24.0,29.0,42.0,67.0,80,56.0,53.0,18.0,21.0,15.0,45.0,23.0,23.0,52.0,80,67.0,80,26.0,53.0,80,22.0,48.0,64.0,16.0,80,57.0,52.0,80.0,30.0,54.0,69.0,67.0,31.0,24.0,73.0,23.0,16.0,27.0,22.0,48.0,37.0,44.0,45.0,17.0,47.0,56.0,52.0,40.0,22.0,41.0,26.0,24.0,22.0,20.0,53.0,16.0,16.0,31.0,68.0,80,33.0,49.0,29.0,44.0,52.0,22.0,25.0,34.0,42.0,59.0,53.0,17.0,53.0,27.0,60.0
