Age From,Age To,Time
0,15,4.05714286
15,19,4.52714286
20,24,4.28714286
25,34,3.00714286
35,44,3.00714286
45,54,3.05714286
55,64,4.13714286
65,74,5.84714286
75,80,6.33714286
