Low,High,Percent
0,1250.00,8.4
1250,2083.33,15.8
2083.33,2917.00,23.4
2916.66,4166.67,34
4166.67,6250.00,50.2
6250,8333.33,62.5
8333.33,12500.00,78.9
12500,16666.67,88.1
16666.67,20000.00,100
