Index,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
MEI,537.4495248052648,682.1192916935939,1045.6203285994507,1055.7326630721025,3160.600682903506,487.0816887303803,92.87011982619626,1533.6301715437103,1745.9070073005169,3913.4826512192676,657.9683817651205,1777.6674085132252,420.56603312086816,462.4866923361124,1498.3992471959589,18.580314030823303,691.2123905645523,323.9842980039235,839.9296276262321,1008.4827871235724,399.2269826704117,886.4824425825666,1138.67000487264,555.2978202513085,643.5516194149069,1122.9703288744167,287.6111593235072,2522.8484697882286,2147.0991998622276,255.09662476709815,654.7379381878127,109.34874679617694,3353.2377765148617,1111.0503035500444,1097.1284852349481,732.5294643484552,1615.9768558195926,490.6493393708076,319.3138985938132,1960.6227055787888,2375.4338084980686,677.3255642976908,1758.257641672582,3141.1935674615183,1704.4347651499968,340.4861482569842,1734.4179196393325,1475.2348872478988,1515.8744553658576,161.5221461361044,2054.1930958346175,215.07579668607968,2019.3339060620278,2847.6335553816643,2457.1788118358736,2002.3377514978788,10.23115788990047,124.76211563222297,407.2210490869843,1576.9423092591564,1809.8594773366067,1333.132892378879,3400.4681379460512,2796.600021677243,1265.557598824543,685.8989209542526,268.5746772515133,2021.1595267915193,2827.47648896843,1394.7840894313383,513.1921063727748,267.67912571101715,1467.150365735137,1608.3486679003493,2076.6543972843297,3490.0609650043098,1014.3865618759362,1227.8037417464036,213.5902667840251,308.68997971115584,511.63328350250254,688.8410449157003,161.63070026459766,2245.989358112086,440.45019394063496,1857.0775106391993,3416.6465410347655,352.1799358536706,839.6719830247911,2190.7566262670903,390.62822331166603,1422.1225897906622,563.3550649013482,1456.0257064511027,3130.6756149815637,812.1007207700263,578.4887771289721,829.3189670357419,793.9239865489337,811.5520126919
ET,4.090818051501765,4.314826607368653,6.081906828376,5.807256043084985,5.677321681839484,4.199443195778778,3.836949795310184,4.653864258083879,3.8718569874305597,4.15116052945528,4.682879729411872,5.774358615692755,4.386291366670437,4.128678437097982,4.51885410784744,4.496074092035348,4.333106189643254,4.277564249784747,4.84940898484156,5.269932150946799,3.767555576106313,4.407757492333036,5.932307467069275,4.3632360273193225,5.270159973084905,4.260957023738297,5.845832843730377,5.225057297475329,5.80428399865057,5.441635953190622,4.900840664781798,4.7205067605467095,4.153740215093264,4.611463596117772,4.3592778747401635,4.824132307331918,5.982554052163623,4.615119857607838,4.193895479449767,4.227027776837562,5.81887188225334,5.184501465572926,4.0852895368528435,4.021134718187514,5.936622203060687,4.077379278627345,4.207259064895264,4.183877492301807,5.540109265809123,4.48233762718725,4.99998886209061,5.6400408289250725,4.771138021063339,3.7774591441054355,5.814892826375,4.01587257597595,4.707018409772482,5.537849538805852,4.799093375875334,4.305475768696498,5.701728314130002,4.306513442076139,4.580123464633055,4.518858386614601,5.673112080846501,3.919618293792208,4.394184756424731,4.430556910369189,4.0012201444418025,4.069813466301266,4.183510951484621,5.769390532911699,5.394949106729482,4.341247322858687,4.490143946764298,4.882720780287964,4.850928232259983,4.2225702103074125,5.529422851083706,4.081777354609186,5.7350112501941,5.0429088185071675,4.0635863524044975,3.81055154278883,4.691242796199911,4.7898328607207645,4.708747565608954,5.505665325704211,4.096605224393241,4.238182180191163,5.228025365897239,4.212059675474944,4.819042977952661,5.043694578238247,4.16748628913626,4.255030068822163,6.101690435791074,4.118971079829137,4.017874605333096,5.565381022731975
TF,77,72,89,73,64,61,70,69,69,70,68,70,80,67,77,79,76,71,74,81,77,72,80,74,86,87,85,72,82,83,77,80,79,67,78,64,73,77,76,83,74,61,69,75,80,74,60,72,83,87,76,76,78,83,77,79,67,77,75,81,76,81,63,80,77,92,79,77,69,79,68,87,72,69,83,81,76,63,78,70,65,78,67,61,81,70,81,78,67,77,68,77,80,70,83,80,83,73,68,79
LS,1142,2255,1865,3073,10141,1044,272,4910,5722,9454,1877,5706,1016,1504,4940,54,2274,957,2055,1919,1315,2306,3316,1794,2069,3274,932,8316,6201,730,2151,356,8712,3595,3150,2133,3926,1618,1061,6335,7720,2239,4128,10292,4412,1130,4182,4813,4342,530,6627,690,6666,9298,8021,6471,30,319,1333,4077,5312,3820,9853,8124,4178,2016,871,5851,8297,4517,1652,774,4901,4151,6152,11285,2955,3996,696,1008,1231,1970,465,7354,1451,6021,11072,1025,2456,5385,1268,1882,1618,4255,9076,2660,1235,2758,1516,1754
PMD,99,100,12,10,1,74,86,93,59,71,49,4,93,70,96,100,100,80,91,14,64,54,0,72,100,88,5,15,0,16,99,39,100,100,63,100,10,100,96,99,33,94,79,57,10,100,55,92,1,31,93,0,100,95,10,65,44,32,86,94,5,93,100,100,30,98,96,75,80,100,58,30,12,50,85,98,90,65,9,60,4,43,100,100,100,97,97,16,96,85,100,83,42,52,34,90,9,60,72,14
PC,45,52,46,43,33,40,64,49,47,53,51,46,61,66,77,52,34,34,37,58,66,72,45,55,53,40,67,66,44,65,41,74,38,57,72,67,56,52,45,46,33,48,63,41,57,40,64,57,60,52,41,50,39,49,79,46,38,56,64,46,37,35,47,43,46,45,49,31,59,44,52,47,52,43,48,43,42,49,41,57,37,61,42,57,33,68,48,58,73,57,44,71,72,34,65,31,52,19,61,42
CH,300,315,302,372,850,300,300,525,638,850,300,627,300,300,527,300,344,300,300,327,300,345,406,306,300,369,300,848,674,300,300,300,834,396,381,306,488,300,300,635,803,301,473,850,485,300,509,505,529,300,663,300,682,850,826,642,300,300,300,452,614,432,850,781,504,300,300,613,850,489,300,300,547,480,638,850,373,490,300,300,300,300,300,715,300,598,850,300,334,561,300,322,300,510,850,386,300,359,300,301
PK,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
AOO,25.0,27.0,75.0,80,80,46.0,44.0,22.0,51.0,50.0,60.0,80,26.0,47.0,34.0,15.0,37.0,47.0,19.0,74.0,53.0,54.0,80,48.0,17.0,42.0,80,71.0,79.0,74.0,21.0,63.0,25.0,24.0,49.0,10.0,80,29.0,32.0,27.0,66.0,21.0,43.0,53.0,72.0,25.0,51.0,25.0,80,63.0,21.0,80,19.0,29.0,80,50.0,59.0,65.0,22.0,27.0,80,27.0,13.0,24.0,69.0,26.0,28.0,49.0,47.0,33.0,54.0,68.0,72.0,54.0,38.0,10.0,21.0,53.0,75.0,53.0,80,61.0,25.0,32.0,14.0,17.0,11.0,73.0,35.0,44.0,16.0,43.0,58.0,58.0,64.0,37.0,80,52.0,47.0,72.0
